participant,session,date,expName,psychopyVersion,OS,frameRate,space_press_continue.keys,space_press_continue.rt,space_press_continue_2.keys,space_press_continue_2.rt,space_press_continue_3.keys,space_press_continue_3.rt,space_press_continue_4.keys,space_press_continue_4.rt,space_press_continue_5.keys,space_press_continue_5.rt,space_press_continue_6.keys,space_press_continue_6.rt,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_1.ran,mask_name
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,space,3.50225,,,,,,,,,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,space,0.945135,,,,,,,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,space,1.682075,,,,,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,space,1.30783,,,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,space,1.222385,,,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,space,1.47515,,,,,,
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,0,0,1,1,masks/mask_002.jpg
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,1,1,3,1,masks/mask_004.jpg
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,2,2,0,1,masks/mask_001.jpg
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,3,3,2,1,masks/mask_003.jpg
531186,001,2022-11-20_18h13.34.518,Info_measure_main_exp,2022.2.2,MacIntel,60.04202942,,,,,,,,,,,,,0,4,4,4,1,masks/mask_005.jpg
