Trial_number,Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,first_pass_loop.thisRepN,first_pass_loop.thisTrialN,first_pass_loop.thisN,first_pass_loop.thisIndex,mask_loop.thisRepN,mask_loop.thisTrialN,mask_loop.thisN,mask_loop.thisIndex,mask_loop_2.thisRepN,mask_loop_2.thisTrialN,mask_loop_2.thisN,mask_loop_2.thisIndex,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,first_patch.started,first_patch.stopped,second_patch.started,second_patch.stopped,mouse.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,Pass,mouse_11.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,[-0.016666666666666666],[-0.012037037037037037],[1],[0],[0],[0.6433031000001392],['center_square'],,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_003.jpg,0,0,0,2,0,0,0,2,,,,,,,,,,,,8.188872899999751,8.398013799999717,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_005.jpg,0,0,0,2,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_001.jpg,0,0,0,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_004.jpg,0,0,0,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_002.jpg,0,0,0,2,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_003.jpg,0,0,0,2,,,,,0,0,0,2,,,,,,,,,,9.189397799999824,9.393742499999917,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_004.jpg,0,0,0,2,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_002.jpg,0,0,0,2,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_001.jpg,0,0,0,2,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
3,0,131,5,5,1950,1974,absent_patch/patch0001950.jpg,absent_patch/patch0001974.jpg,masks/mask_005.jpg,0,0,0,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,353904,001,2022-11-03_11h37.58.366,Info_measure_main_exp,2022.2.2,144.02083117330363,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005745400000250811,9.695803199999773,-0.12037037037037036,0.08333333333333333,1,0,0,response7disk,1,9.876987799999824,1,2.1699999706470408e-05,,,,,,,
